Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODI No
60,94,78,2,0,76.92,6,caught,1,v India,Cape Town,18 Jan 2011,ODI # 3082
1,5,4,0,0,25.00,6,run out,1,v India,Port Elizabeth,21 Jan 2011,ODI # 3084
8,7,6,1,0,133.33,6,bowled,1,v India,Centurion,23 Jan 2011,ODI # 3087
DNB,-,-,-,-,-,-,-,2,v West Indies,Delhi,24 Feb 2011,ODI # 3106
18*,27,14,1,0,128.57,5,not out,1,v Netherlands,Mohali,3 Mar 2011,ODI # 3115
17,52,38,2,0,44.73,5,run out,2,v England,Chennai,6 Mar 2011,ODI # 3120
25*,52,23,0,1,108.69,6,not out,2,v India,Nagpur,12 Mar 2011,ODI # 3128
11,21,19,0,0,57.89,6,caught,1,v Ireland,Kolkata,15 Mar 2011,ODI # 3133
52,73,52,4,1,100.00,5,caught,1,v Bangladesh,Dhaka,19 Mar 2011,ODI # 3138
36,70,43,3,1,83.72,6,caught,2,v New Zealand,Dhaka,25 Mar 2011,ODI # 3144
27,44,20,3,0,135.00,5,caught,2,v Australia,Centurion,19 Oct 2011,ODI # 3203
12,12,20,2,0,60.00,5,stumped,1,v Australia,Port Elizabeth,23 Oct 2011,ODI # 3208
21,41,28,2,0,75.00,5,caught,1,v Australia,Durban,28 Oct 2011,ODI # 3211
10,15,13,0,0,76.92,7,bowled,1,v Sri Lanka,Paarl,11 Jan 2012,ODI # 3225
18,26,16,2,0,112.50,6,caught,2,v Sri Lanka,East London,14 Jan 2012,ODI # 3226
72,99,74,7,0,97.29,4,run out,2,v Sri Lanka,Bloemfontein,17 Jan 2012,ODI # 3227
5,13,12,0,0,41.66,6,caught,1,v Sri Lanka,Kimberley,20 Jan 2012,ODI # 3228
24,66,39,2,0,61.53,3,caught,1,v Sri Lanka,Johannesburg,22 Jan 2012,ODI # 3229
66*,72,49,9,1,134.69,6,not out,2,v New Zealand,Wellington,25 Feb 2012,ODI # 3249
34,38,25,6,0,136.00,3,caught,2,v New Zealand,Napier,29 Feb 2012,ODI # 3252
19,54,28,1,0,67.85,4,lbw,2,v New Zealand,Auckland,3 Mar 2012,ODI # 3254
TDNB,-,-,-,-,-,-,-,-,v England,Cardiff,24 Aug 2012,ODI # 3296
22*,30,19,2,0,115.78,6,not out,1,v England,Southampton,28 Aug 2012,ODI # 3298
1,3,4,0,0,25.00,5,bowled,1,v England,The Oval,31 Aug 2012,ODI # 3300
1,11,8,0,0,12.50,5,bowled,1,v England,Lord's,2 Sep 2012,ODI # 3302
