Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODI No
0,1,2,0,0,0.00,1,bowled,2,v Australia,Visakhapatnam,20 Oct 2010,ODI # 3060
51,105,76,3,1,67.10,2,caught,2,v West Indies,Port of Spain,6 Jun 2011,ODI # 3159
3,12,4,0,0,75.00,2,caught,2,v West Indies,Port of Spain,8 Jun 2011,ODI # 3160
4,35,15,0,0,26.66,2,caught,2,v West Indies,North Sound,11 Jun 2011,ODI # 3161
11,32,26,1,0,42.30,1,caught,1,v West Indies,Kingston,16 Jun 2011,ODI # 3163
114,159,94,12,1,121.27,2,caught,1,v South Africa,Cardiff,6 Jun 2013,ODI # 3363
102*,183,107,10,1,95.32,2,not out,2,v West Indies,The Oval,11 Jun 2013,ODI # 3368
48,70,41,5,0,117.07,2,caught,2,v Pakistan,Birmingham,15 Jun 2013,ODI # 3372
68,140,92,6,1,73.91,2,stumped,2,v Sri Lanka,Cardiff,20 Jun 2013,ODI # 3376
31,40,24,2,1,129.16,2,caught,1,v England,Birmingham,23 Jun 2013,ODI # 3377
11,20,10,2,0,110.00,2,caught,1,v West Indies,Kingston,30 Jun 2013,ODI # 3380
24,53,42,3,0,57.14,2,caught,2,v Sri Lanka,Kingston,2 Jul 2013,ODI # 3382
69,102,77,8,2,89.61,2,caught,1,v West Indies,Port of Spain,5 Jul 2013,ODI # 3383
15,26,16,2,0,93.75,2,caught,1,v Sri Lanka,Port of Spain,9 Jul 2013,ODI # 3387
16,38,35,2,0,45.71,2,caught,2,v Sri Lanka,Port of Spain,11 Jul 2013,ODI # 3388
17,27,21,3,0,80.95,2,caught,2,v Zimbabwe,Harare,24 Jul 2013,ODI # 3395
116,209,127,11,2,91.33,2,bowled,1,v Zimbabwe,Harare,26 Jul 2013,ODI # 3397
35,62,32,5,0,109.37,2,caught,2,v Zimbabwe,Harare,28 Jul 2013,ODI # 3399
41,48,38,6,1,107.89,2,caught,2,v Zimbabwe,Bulawayo,3 Aug 2013,ODI # 3403
7,29,15,1,0,46.66,1,caught,2,v Australia,Pune,13 Oct 2013,ODI # 3419
95,112,86,14,0,110.46,2,caught,2,v Australia,Jaipur,16 Oct 2013,ODI # 3420
8,8,6,2,0,133.33,2,caught,1,v Australia,Mohali,19 Oct 2013,ODI # 3421
14*,19,12,3,0,116.66,2,not out,2,v Australia,Ranchi,23 Oct 2013,ODI # 3422
100,152,102,11,0,98.03,2,bowled,2,v Australia,Nagpur,30 Oct 2013,ODI # 3424
60,82,57,9,0,105.26,2,lbw,1,v Australia,Bengaluru,2 Nov 2013,ODI # 3428
5,16,6,1,0,83.33,2,caught,2,v West Indies,Kochi,21 Nov 2013,ODI # 3436
35,62,37,5,0,94.59,2,lbw,1,v West Indies,Visakhapatnam,24 Nov 2013,ODI # 3437
119,164,95,20,0,125.26,2,caught,2,v West Indies,Kanpur,27 Nov 2013,ODI # 3439
12,19,13,3,0,92.30,2,caught,2,v South Africa,Johannesburg,5 Dec 2013,ODI # 3442
0,9,2,0,0,0.00,2,caught,2,v South Africa,Durban,8 Dec 2013,ODI # 3443
TDNB,-,-,-,-,-,-,-,-,v South Africa,Centurion,11 Dec 2013,ODI # 3444
32,84,46,3,0,69.56,2,caught,2,v New Zealand,Napier,19 Jan 2014,ODI # 3456
12,32,22,2,0,54.54,1,bowled,2,v New Zealand,Hamilton,22 Jan 2014,ODI # 3458
28,46,25,4,1,112.00,2,caught,2,v New Zealand,Auckland,25 Jan 2014,ODI # 3462
9,43,28,1,0,32.14,2,caught,2,v New Zealand,Wellington,31 Jan 2014,ODI # 3467
28,50,44,5,0,63.63,2,lbw,2,v Bangladesh,Fatullah,26 Feb 2014,ODI # 3474
94,161,114,7,1,82.45,2,bowled,1,v Sri Lanka,Fatullah,28 Feb 2014,ODI # 3476
10,12,13,2,0,76.92,2,lbw,1,v Pakistan,Dhaka,2 Mar 2014,ODI # 3479
60,98,78,4,1,76.92,2,bowled,2,v Afghanistan,Dhaka,5 Mar 2014,ODI # 3483
11,29,22,2,0,50.00,2,caught,1,v England,Cardiff,27 Aug 2014,ODI # 3517
16,29,23,1,0,69.56,2,caught,2,v England,Nottingham,30 Aug 2014,ODI # 3520
97*,132,81,11,4,119.75,2,not out,2,v England,Birmingham,2 Sep 2014,ODI # 3523
31,54,44,4,1,70.45,2,bowled,2,v England,Leeds,5 Sep 2014,ODI # 3525
68,146,92,9,0,73.91,2,bowled,2,v West Indies,Kochi,8 Oct 2014,ODI # 3531
